,Clusters,hsa_mir_375,hsa_mir_5698,hsa_mir_205,hsa_mir_149,hsa_mir_129_1,hsa_mir_129_2,hsa_mir_6510,hsa_mir_204,hsa_mir_944
TCGA-83-5908,C2,1028.452733,1.28637,465.987496,14.471661,2.57274,1.768759,1.28637,1.447166,4.823887
TCGA-85-6175,C3,2041.964679,0.508457,2850.242365,28.812583,1.525372,0.169486,7.965832,1.355886,42.371445
TCGA-85-6560,C5,1704.893674,2.890875,368.586593,67.935568,7.949907,7.227188,0,2.168156,6.504469
TCGA-85-6561,C5,412.031211,0.500038,4758.110427,150.511401,1.000076,2.000152,1.250095,7.250549,175.763314
TCGA-85-6798,C5,163.556419,0.953682,36382.00485,891.056643,224.274157,197.253174,28.769399,0.953682,192.643712
TCGA-85-7696,C5,681.161207,1.095996,17729.00598,61.010417,93.342284,92.976952,6.575973,48.954466,40.003836
TCGA-85-7697,C4,11695.88856,0,11513.06446,175.453609,4.134665,6.291881,9.347938,3.954897,175.453609
TCGA-85-7698,C5,1666.764427,0.230025,14788.56636,213.233594,5.520611,4.140458,4.370484,25.532825,97.990843
TCGA-85-7699,C5,61.071109,0.260988,7440.235787,34.972344,1.043951,0.782963,6.785679,10.178518,16.703209
TCGA-85-7843,C4,1155.261715,2.068138,17416.61476,152.628562,2.895393,3.30902,8.272551,1.240883,159.66023
TCGA-85-7844,C5,720.307495,0.389935,11575.80644,456.711411,1.072321,1.169805,82.178809,12.672889,90.75738
TCGA-85-7950,C4,773.902164,0.950273,10727.43953,402.345501,16.724801,15.584474,146.151956,25.277256,128.286827
TCGA-85-8048,C3,4097.057045,0.477958,8547.086164,34.174006,1.194895,2.389791,7.886309,5.257539,9.559162
TCGA-85-8049,C5,13811.31905,0.175162,7538.080575,327.902564,2.452263,2.802586,7.707112,7.707112,47.293639
TCGA-85-8072,C5,5498.12569,0,13302.15534,89.948887,2.248722,2.891214,1.927476,1.284984,215.877328
TCGA-85-8276,C5,360.420898,0.509069,5259.701584,120.140299,2.545345,1.527207,1.018138,4.581622,113.522402
TCGA-85-8287,C4,477.904798,0.352827,12972.40731,74.446595,2.646206,1.764137,44.985501,21.346061,53.453361
TCGA-85-8288,C4,307.654121,0.56073,10832.37822,40.372594,1.121461,2.056012,65.418555,3.925113,33.270008
TCGA-85-8350,C4,9170.485524,0,6596.907349,93.245586,9.760286,8.714541,39.564015,7.668796,56.993097
TCGA-85-8351,C4,3403.980155,1.969733,15022.31004,53.745574,6.753371,5.627809,9.567275,2.251124,87.512427
TCGA-85-8352,C5,373.229182,1.114949,27025.52787,188.426383,6.13222,6.13222,0.278737,0,76.931482
TCGA-85-8353,C5,1004.440303,0.401401,5333.822865,51.245589,1.338005,1.739406,3.345012,1.070404,75.99868
TCGA-85-8355,C3,3273.82339,2.342535,10538.80657,95.263107,4.685071,5.465916,13.014086,7.027606,309.214675
TCGA-85-8479,C5,3075.715698,0,29463.67931,116.746552,4.6328,6.949199,2.77968,0,51.887356
TCGA-85-8580,C5,8777.614431,0.828702,51212.14281,1200.789588,17.402748,14.916641,3.314809,14.087939,394.46228
TCGA-85-8664,C4,606.681231,0.390777,29968.09892,89.487924,1.367719,0.976942,3.321604,49.433285,150.44913
TCGA-85-8666,C5,181.714193,0.61598,11181.58268,87.777195,4.619852,5.543823,10.779656,0.92397,206.353406
TCGA-85-A4CL,C4,7552.848804,0.242966,20343.07806,226.68751,26.483321,24.296625,6.074156,8.989751,55.153338
TCGA-85-A4CN,C5,97.947213,0.689769,18613.76414,761.160205,13.105613,12.760728,3.448846,42.4208,260.042952
TCGA-85-A4JB,C4,283.819637,0.256618,12761.36235,164.235595,2.566181,1.283091,32.077265,99.824448,77.498671
TCGA-85-A4JC,C4,637.499724,0.428499,12836.65845,236.531573,0.749874,0.749874,21.960585,1.606872,72.951993
TCGA-85-A4PA,C3,2708.379115,4.323031,253.257584,13.329347,10.447326,10.447326,0,15.490862,7.565305
TCGA-85-A4QQ,C5,7041.817748,0.542806,25615.27021,78.70682,0.271403,0.271403,1.628417,2.985431,56.723191
TCGA-85-A4QR,C4,2530.376597,0.335505,33346.82062,111.052062,6.039085,3.019542,147.286572,32.879463,470.713122
TCGA-85-A50Z,C3,1312.613824,0.337693,25075.41535,332.290199,1.688466,2.363853,140.142716,0.675387,293.793164
TCGA-85-A510,C1,202330.9188,24.870574,994.822978,37.305862,0.3033,0.606599,0.909899,2.123098,40.338859
TCGA-85-A511,C4,100.39001,0,7883.133941,95.689475,5.372041,5.707793,4.700536,2.014515,57.245808
TCGA-85-A512,C5,974.936292,0,11950.625,569.56344,122.778396,117.820599,3.791257,1.458176,305.341998
TCGA-85-A513,C3,20747.01093,1.266421,151.210635,74.972107,0.506568,0.253284,0.506568,2.786126,1.266421
TCGA-85-A53L,C5,852.0662,2.202291,16352.2273,262.072571,1.761832,1.321374,3.083207,21.582447,96.240095
TCGA-85-A5B5,C5,189.671299,0.309415,17334.96663,237.01177,0.309415,0.928245,14.233083,9.901275,147.590881
